denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Bolzano	146	32	178	470	648	57	7	23	678	5718	
Bolzano	145	33	178	510	688	46	7	29	724	6084	
Bolzano	166	38	204	495	699	57	44	38	781	6509	
Bolzano	190	40	230	518	748	77	67	43	858	6649	
Bolzano	223	43	266	525	791	48	67	48	906	7744	
Bolzano	249	45	294	539	833	97	110	60	1003	8520	
Bolzano	225	51	276	653	929	106	116	64	1109	9168	
Bolzano	234	56	290	744	1034	105	116	64	1214	10137	
Bolzano	231	62	293	805	1098	111	153	74	1325	10640	
Bolzano	249	62	311	831	1142	46	153	76	1371	11275	
Bolzano	269	57	326	786	1112	47	190	116	1418	11951	
Bolzano	279	60	339	821	1160	61	190	129	1479	12677	
Bolzano	291	60	351	858	1209	80	211	139	1559	13976	
Bolzano	291	61	352	849	1201	33	245	146	1592	15045	
Bolzano	239	53	292	934	1226	52	260	158	1644	15723	
Bolzano	245	52	297	963	1260	78	298	164	1722	16825	
Bolzano	325	64	389	912	1301	89	336	174	1811	17761	
Bolzano	268	65	333	948	1281	24	371	183	1835	18865	
Bolzano	263	64	327	988	1315	68	401	187	1903	19875	
Bolzano	258	58	316	1001	1317	52	447	191	1955	20866	
Bolzano	246	56	302	967	1269	2	488	200	1957	22186	
Bolzano	183	45	228	1287	1515	141	378	205	2098	23246	
Bolzano	190	41	231	1306	1537	51	400	212	2149	24157	
Bolzano	177	39	216	1348	1564	35	406	214	2184	24457	
Bolzano	166	32	198	1378	1576	40	425	223	2224	25370	
Bolzano	180	34	214	1379	1593	43	449	225	2267	26416	
Bolzano	181	32	213	1369	1582	29	480	234	2296	27698	
Bolzano	179	28	207	1349	1556	29	530	239	2325	28888	
Bolzano	162	23	185	1381	1566	55	569	245	2380	30361	14783
Bolzano	160	19	179	1361	1540	14	605	249	2394	31381	15089
Bolzano	159	20	179	1357	1536	16	623	251	2410	31987	15405
Bolzano	157	19	176	1336	1512	6	648	256	2416	32722	15736
Bolzano	141	17	158	1336	1494	19	680	261	2435	33994	16442
Bolzano	148	16	164	929	1093	21	1100	263	2456	35062	17024
Bolzano	141	14	155	880	1035	20	1176	265	2476	36608	17573
Bolzano	138	14	152	842	994	5	1218	269	2481	37431	17895
Calabria	0	0	0	0	0	0	0	0	0	1	
Calabria	0	0	0	0	0	0	0	0	0	2	
Calabria	0	0	0	0	0	0	0	0	0	3	
Calabria	0	0	0	0	0	0	0	0	0	14	
Calabria	0	0	0	1	1	1	0	0	1	21	
Calabria	0	0	0	1	1	0	0	0	1	27	
Calabria	0	0	0	1	1	0	0	0	1	35	
Calabria	0	0	0	1	1	0	0	0	1	39	
Calabria	0	0	0	1	1	0	0	0	1	39	
Calabria	0	0	0	1	1	0	0	0	1	46	
Calabria	1	0	1	1	2	1	0	0	2	53	
Calabria	2	0	2	2	4	2	0	0	4	99	
Calabria	2	0	2	2	4	0	0	0	4	113	
Calabria	5	0	5	4	9	5	0	0	9	113	
Calabria	8	0	8	1	9	2	2	0	11	173	
Calabria	8	2	10	1	11	2	2	0	13	360	
Calabria	10	2	12	5	17	6	2	0	19	405	
Calabria	14	2	16	16	32	14	1	0	33	483	
Calabria	18	3	21	16	37	5	1	0	38	504	
Calabria	22	4	26	33	59	22	1	0	60	711	
Calabria	32	6	38	28	66	8	1	1	68	884	
Calabria	36	7	43	44	87	21	1	1	89	1030	
Calabria	45	10	55	57	112	25	1	1	114	1293	
Calabria	45	11	56	70	126	15	2	1	129	1668	
