denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Sardegna	95	19	114	690	804	3	351	102	1257	19889	18050
Sardegna	96	18	114	680	794	14	374	103	1271	20351	18480
Sardegna	95	20	115	668	783	9	388	109	1280	21101	19162
Sicilia	0	0	0	0	0	0	0	0	0	5	
Sicilia	1	0	1	2	3	3	0	0	3	5	
Sicilia	1	0	1	2	3	0	0	0	3	5	
Sicilia	1	0	1	1	2	1	2	0	4	5	
Sicilia	1	0	1	1	2	0	2	0	4	5	
Sicilia	1	0	1	1	2	0	2	0	4	6	
Sicilia	1	0	1	6	7	5	2	0	9	291	
Sicilia	2	0	2	3	5	-2	2	0	7	307	
Sicilia	2	0	2	3	5	0	2	0	7	307	
Sicilia	5	0	5	11	16	11	2	0	18	367	
Sicilia	5	0	5	11	16	0	2	0	18	367	
Sicilia	7	0	7	15	22	6	2	0	24	367	
Sicilia	8	0	8	25	33	11	2	0	35	643	
Sicilia	18	0	18	33	51	18	2	0	53	791	
Sicilia	19	0	19	33	52	1	2	0	54	836	
Sicilia	17	2	19	41	60	8	2	0	62	955	
Sicilia	23	1	24	57	81	21	2	0	83	1194	
Sicilia	28	5	33	78	111	32	2	2	115	1477	
Sicilia	37	7	44	82	126	15	2	2	130	1950	
Sicilia	42	11	53	97	150	26	4	2	156	2100	
Sicilia	56	15	71	108	179	32	7	2	188	2452	
Sicilia	75	20	95	108	203	25	8	2	213	2653	
Sicilia	86	28	114	112	226	24	8	3	237	2916	
Sicilia	100	29	129	138	267	45	12	3	282	3294	
Sicilia	143	36	179	142	321	58	15	4	340	3961	
Sicilia	168	42	210	169	379	68	25	4	408	4468	
Sicilia	206	48	254	204	458	82	26	6	490	4883	
Sicilia	220	55	275	321	596	140	26	8	630	5580	
Sicilia	250	60	310	371	681	91	27	13	721	6375	
Sicilia	250	60	310	489	799	125	27	20	846	7170	
Sicilia	259	80	339	597	936	148	33	25	994	8312	
Sicilia	346	68	414	681	1095	170	36	33	1164	9658	
Sicilia	425	75	500	658	1158	86	53	39	1250	11079	
Sicilia	441	71	512	730	1242	109	60	57	1359	13096	
Sicilia	451	71	522	808	1330	101	65	65	1460	13814	
Sicilia	484	75	559	849	1408	95	71	76	1555	14758	
Sicilia	503	72	575	917	1492	92	74	81	1647	15634	
Sicilia	496	72	568	976	1544	71	86	88	1718	16836	
Sicilia	503	73	576	1030	1606	73	92	93	1791	17833	
Sicilia	535	73	608	1056	1664	68	94	101	1859	18686	
Sicilia	553	74	627	1099	1726	73	95	111	1932	19896	
Sicilia	556	76	632	1142	1774	62	104	116	1994	21904	
Sicilia	563	74	637	1178	1815	52	108	123	2046	23464	
Sicilia	562	73	635	1224	1859	51	113	125	2097	24857	
Sicilia	563	65	628	1265	1893	62	133	133	2159	27438	
Sicilia	566	63	629	1313	1942	73	152	138	2232	28742	
Sicilia	568	62	630	1337	1967	70	187	148	2302	31156	
Sicilia	562	58	620	1381	2001	62	209	154	2364	33787	
Sicilia	552	53	605	1425	2030	52	223	163	2416	36098	
Sicilia	554	51	605	1445	2050	42	237	171	2458	37311	
Sicilia	552	53	605	1466	2071	43	255	175	2501	37877	
Sicilia	541	49	590	1491	2081	34	273	181	2535	39867	
Sicilia	525	48	573	1535	2108	44	284	187	2579	42405	
Sicilia	521	46	567	1572	2139	46	296	190	2625	45172	
Sicilia	526	42	568	1603	2171	47	305	196	2672	47715	
Sicilia	522	41	563	1639	2202	45	315	200	2717	49772	49772
Sicilia	526	39	565	1645	2210	42	346	203	2759	51373	51373
Sicilia	514	37	551	1708	2259	76	370	206	2835	55093	55093
Sicilia	500	35	535	1752	2287	48	388	208	2883	58732	58732
Sicilia	476	34	510	1791	2301	43	412	213	2926	62150	62150
Sicilia	461	32	493	1827	2320	55	443	218	2981	65165	63626
Sicilia	452	33	485	1787	2272	39	524	224	3020	68251	64892
Sicilia	445	33	478	1629	2107	35	720	228	3055	70104	65689
Toscana	0	0	0	0	0	0	0	0	0	140	
Toscana	2	0	2	0	2	2	0	0	2	296	
Toscana	2	0	2	0	2	0	0	0	2	363	
Toscana	2	0	2	0	2	0	0	0	2	410	
Toscana	5	0	5	2	7	6	1	0	8	437	
Toscana	7	0	7	3	10	3	1	0	11	531	
Toscana	7	0	7	5	12	2	1	0	13	572	
Toscana	7	0	7	5	12	0	1	0	13	613	
Toscana	10	0	10	8	18	6	1	0	19	697	
Toscana	15	2	17	20	37	19	1	0	38	776	
Toscana	26	3	29	31	60	23	1	0	61	776	
Toscana	35	5	40	38	78	18	1	0	79	1097	
Toscana	54	7	61	51	112	34	1	0	113	1331	
Toscana	91	7	98	67	165	53	1	0	166	1618	
Toscana	107	9	116	90	206	42	1	1	208	2018	
Toscana	91	40	131	129	260	56	3	1	264	2573	
Toscana	87	54	141	173	314	56	5	1	320	2804	
Toscana	100	59	159	193	352	44	7	5	364	3165	
Toscana	134	77	211	244	455	106	10	5	470	4049	
Toscana	160	87	247	367	614	160	10	6	630	4595	
Toscana	175	107	282	481	763	151	10	8	781	5132	
Toscana	175	107	282	559	841	85	11	14	866	5910	
Toscana	329	143	472	552	1024	187	12	17	1053	6727	
Toscana	427	160	587	704	1291	277	17	22	1330	7606	
Toscana	501	178	679	743	1422	152	22	38	1482	8873	
Toscana	601	189	790	923	1713	311	33	47	1793	10405	
Toscana	664	202	866	1039	1905	219	35	72	2012	11909	
Toscana	706	215	921	1223	2144	265	42	91	2277	13264	
Toscana	838	238	1076	1225	2301	184	51	109	2461	13851	
Toscana	918	244	1162	1357	2519	238	51	129	2699	15701	
Toscana	999	251	1250	1526	2776	273	54	142	2972	17868	
Toscana	1037	259	1296	1677	2973	254	95	158	3226	20952	
Toscana	1053	274	1327	1843	3170	224	103	177	3450	23746	
Toscana	1093	277	1370	2141	3511	367	108	198	3817	25613	
Toscana	1111	275	1386	2400	3786	305	121	215	4122	27579	
Toscana	1116	279	1395	2655	4050	290	131	231	4412	30099	
Toscana	1120	293	1413	2813	4226	196	138	244	4608	33165	
Toscana	1120	297	1417	3015	4432	259	182	253	4867	36575	
Toscana	1135	295	1430	3359	4789	406	216	268	5273	40724	
Toscana	1149	288	1437	3472	4909	226	300	290	5499	44460	
Toscana	1129	286	1415	3639	5054	172	310	307	5671	47886	
Toscana	1111	276	1387	3798	5185	176	337	325	5847	51006	
Toscana	1116	279	1395	3906	5301	154	350	350	6001	52849	
Toscana	1087	263	1350	4077	5427	172	377	369	6173	56651	
Toscana	1066	260	1326	4231	5557	206	430	392	6379	60985	
Toscana	1038	256	1294	4409	5703	173	441	408	6552	65461	
Toscana	1011	256	1267	4555	5822	175	451	454	6727	72001	
Toscana	997	237	1234	4758	5992	231	499	467	6958	75756	
Toscana	983	238	1221	4941	6162	277	578	495	7235	78640	
Toscana	992	225	1217	5040	6257	155	615	518	7390	80889	
Toscana	1002	225	1227	5125	6352	137	637	538	7527	82269	
Toscana	977	216	1193	5224	6417	139	693	556	7666	86348	
Toscana	940	213	1153	5460	6613	277	745	585	7943	91651	
Toscana	898	207	1105	5478	6583	167	925	602	8110	96231	
Toscana	883	198	1081	5389	6470	127	1149	618	8237	99903	
Toscana	852	192	1044	5452	6496	135	1239	637	8372	103975	84620
Toscana	850	182	1032	5536	6568	135	1272	667	8507	105857	85946
Toscana	833	171	1004	5618	6622	96	1295	686	8603	109925	87717
Toscana	820	174	994	5173	6167	97	1828	705	8700	114100	91747
Toscana	791	168	959	5212	6171	80	1886	723	8780	118177	94426
Toscana	738	159	897	5236	6133	97	2002	742	8877	121336	96180
Toscana	687	166	853	5293	6146	138	2109	760	9015	125495	98753
Toscana	677	158	835	5234	6069	132	2300	778	9147	127394	99751
Trento	0	0	0	0	0	0	0	0	0	3	
Trento	0	0	0	0	0	0	0	0	0	3	
Trento	0	0	0	0	0	0	0	0	0	3	
Trento	0	0	0	0	0	0	0	0	0	32	
Trento	0	0	0	0	0	0	0	0	0	32	
Trento	0	0	0	0	0	0	0	0	0	43	
Trento	0	0	0	0	0	0	0	0	0	122	
Trento	0	0	0	0	0	0	0	0	0	122	
Trento	1	0	1	3	4	4	0	0	4	122	
Trento	1	0	1	4	5	1	0	0	5	122	
Trento	2	0	2	5	7	2	0	0	7	122	
Trento	4	0	4	6	10	3	0	0	10	122	
Trento	6	1	7	7	14	4	0	0	14	194	
Trento	7	2	9	14	23	9	0	0	23	228	
Trento	10	2	12	21	33	10	0	0	33	267	
Trento	19	3	22	28	50	19	2	0	52	399	
Trento	28	4	32	42	74	25	3	0	77	527	
Trento	43	5	48	54	102	30	4	1	107	593	
Trento	58	6	64	93	157	56	4	2	163	846	
Trento	68	12	80	119	199	43	5	2	206	1006	
Trento	73	19	92	275	367	172	5	6	378	1006	
Trento	73	19	92	275	367	0	5	6	378	1006	
Trento	107	22	129	239	368	7	10	7	385	1727	
Trento	141	22	163	273	436	70	12	7	455	2187	
Trento	169	30	199	292	491	68	20	12	523	2203	
Trento	198	34	232	368	600	119	29	13	642	2656	
Trento	233	39	272	448	720	140	34	28	782	2656	
Trento	235	46	281	604	885	172	34	35	954	3050	
Trento	249	46	295	619	914	69	68	41	1023	3150	
Trento	308	49	357	618	975	87	79	56	1110	3712	
Trento	308	65	373	685	1058	112	90	74	1222	4114	
Trento	300	66	366	728	1094	75	117	86	1297	4600	
Trento	341	66	407	757	1164	94	125	102	1391	4923	
Trento	351	72	423	811	1234	114	151	120	1505	5561	
Trento	356	75	431	862	1293	89	172	129	1594	5950	
Trento	353	78	431	926	1357	88	178	147	1682	6377	
Trento	354	80	434	955	1389	64	193	164	1746	6973	
Trento	345	76	421	1062	1483	124	214	173	1870	7675	
Trento	339	78	417	1170	1587	133	229	187	2003	8496	
Trento	343	80	423	1236	1659	106	246	204	2109	8993	
Trento	353	81	434	1319	1753	111	257	210	2220	9863	
Trento	352	80	432	1363	1795	65	273	217	2285	10476	
Trento	354	79	433	1405	1838	63	280	230	2348	11130	
Trento	360	78	438	1452	1890	128	342	244	2476	12030	
Trento	354	77	431	1509	1940	126	407	255	2602	13258	
Trento	345	69	414	1564	1978	106	462	268	2708	14338	
Trento	335	70	405	1589	1994	108	547	275	2816	14981	
Trento	335	62	397	1667	2064	154	622	284	2970	16646	
Trento	322	61	383	1699	2082	83	678	293	3053	17797	
Trento	326	56	382	1698	2080	73	746	300	3126	18586	
Trento	325	54	379	1703	2082	15	749	310	3141	18774	
Trento	312	48	360	1744	2104	79	798	318	3220	19535	
Trento	296	43	339	1748	2087	74	885	322	3294	20773	
Trento	286	44	330	1660	1990	82	1044	342	3376	21921	
Trento	276	42	318	1667	1985	55	1098	348	3431	23147	
Trento	278	41	319	1652	1971	101	1201	360	3532	24388	16685
Trento	272	40	312	1617	1929	58	1295	366	3590	26211	17347
Trento	254	38	292	1617	1909	24	1329	376	3614	26610	17705
Trento	245	34	279	1595	1874	32	1391	381	3646	26674	17672
Trento	234	29	263	1608	1871	81	1474	382	3727	28240	18656
Trento	224	28	252	1575	1827	49	1560	389	3776	29779	19250
Trento	202	27	229	1515	1744	62	1694	400	3838	30661	19394
Trento	199	24	223	1459	1682	56	1807	405	3894	32142	19902
Umbria	0	0	0	0	0	0	0	0	0	0	
Umbria	0	0	0	0	0	0	0	0	0	8	
Umbria	0	0	0	0	0	0	0	0	0	8	
Umbria	0	0	0	0	0	0	0	0	0	8	
Umbria	0	0	0	0	0	0	0	0	0	8	
Umbria	0	0	0	0	0	0	0	0	0	31	
Umbria	0	0	0	2	2	2	0	0	2	35	
Umbria	0	0	0	2	2	0	0	0	2	35	
Umbria	1	1	2	6	8	6	0	0	8	45	
Umbria	1	1	2	7	9	1	0	0	9	58	
Umbria	1	1	2	7	9	0	0	0	9	88	
Umbria	2	2	4	12	16	7	0	0	16	110	
Umbria	2	2	4	20	24	8	0	0	24	134	
Umbria	2	2	4	22	26	2	0	0	26	168	
Umbria	4	2	6	22	28	2	0	0	28	183	
Umbria	8	2	10	27	37	9	0	0	37	260	
Umbria	7	5	12	32	44	9	2	0	46	340	
Umbria	8	8	16	46	62	18	2	0	64	458	
Umbria	11	10	21	52	73	12	2	1	76	576	
Umbria	21	11	32	71	103	31	3	1	107	748	
Umbria	25	13	38	101	139	36	3	1	143	965	
Umbria	30	15	45	114	159	21	4	1	164	1093	
Umbria	36	21	57	135	192	33	4	1	197	1323	
Umbria	54	21	75	166	241	50	4	2	247	1601	
Umbria	69	21	90	238	328	87	4	2	334	1954	
Umbria	75	24	99	285	384	61	4	7	395	2303	
Umbria	92	29	121	326	447	67	5	10	462	2712	
Umbria	97	35	132	368	500	59	5	16	521	3135	
Umbria	106	42	148	408	556	56	5	16	577	3561	
Umbria	105	43	148	476	624	71	5	19	648	4108	
Umbria	123	44	167	519	686	62	5	19	710	4707	
Umbria	144	46	190	580	770	92	12	20	802	5428	
Umbria	149	46	195	629	824	82	39	21	884	6137	
Umbria	159	44	203	695	898	85	43	28	969	7028	
Umbria	166	46	212	685	897	54	95	31	1023	7685	
Umbria	173	47	220	614	834	28	184	33	1051	8150	
Umbria	176	43	219	632	851	27	190	37	1078	8685	
Umbria	173	45	218	646	864	17	194	37	1095	9080	
Umbria	171	47	218	667	885	33	205	38	1128	9737	
Umbria	165	48	213	707	920	51	220	39	1179	10614	
Umbria	167	44	211	716	927	31	242	41	1210	11809	
Umbria	159	45	204	694	898	29	298	43	1239	12448	
Umbria	159	46	205	667	872	14	337	44	1253	12573	
Umbria	157	41	198	648	846	10	368	49	1263	13274	
Umbria	155	41	196	627	823	26	416	50	1289	14105	
Umbria	154	38	192	600	792	9	455	51	1298	15170	
Umbria	146	39	185	567	752	4	498	52	1302	16325	
Umbria	137	39	176	547	723	7	534	52	1309	17661	
Umbria	129	39	168	519	687	10	580	52	1319	18672	
Umbria	127	38	165	460	625	1	643	52	1320	18740	
Umbria	127	37	164	458	622	1	646	53	1321	18956	
Umbria	122	37	159	423	582	1	686	54	1322	20258	
Umbria	116	33	149	387	536	7	738	55	1329	21487	
Umbria	111	31	142	352	494	8	786	57	1337	22818	
Umbria	109	32	141	290	431	7	856	57	1344	24106	
Umbria	108	30	138	298	436	4	854	58	1348	25170	16790
Umbria	113	29	142	282	424	1	867	58	1349	25562	17099
Umbria	107	22	129	278	407	4	886	60	1353	26639	17873
Umbria	97	20	117	254	371	4	925	61	1357	27655	18679
Umbria	100	19	119	236	355	5	946	61	1362	29011	19627
Umbria	94	19	113	209	322	1	979	62	1363	30524	20733
Umbria	95	18	113	184	297	3	1006	63	1366	31939	21842
Umbria	91	17	108	188	296	2	1008	64	1368	32569	22320
ValleAosta	0	0	0	0	0	0	0	0	0	7	
ValleAosta	0	0	0	0	0	0	0	0	0	7	
ValleAosta	0	0	0	0	0	0	0	0	0	7	
ValleAosta	0	0	0	0	0	0	0	0	0	9	
ValleAosta	0	0	0	0	0	0	0	0	0	9	
ValleAosta	0	0	0	0	0	0	0	0	0	9	
ValleAosta	0	0	0	0	0	0	0	0	0	10	
ValleAosta	0	0	0	0	0	0	0	0	0	11	
ValleAosta	0	0	0	0	0	0	0	0	0	12	
ValleAosta	0	0	0	0	0	0	0	0	0	15	
ValleAosta	0	0	0	2	2	2	0	0	2	21	
ValleAosta	0	0	0	7	7	5	0	0	7	28	
ValleAosta	1	0	1	7	8	1	0	0	8	32	
ValleAosta	1	0	1	8	9	1	0	0	9	41	
ValleAosta	4	0	4	11	15	6	0	0	15	67	
ValleAosta	2	0	2	15	17	2	0	0	17	89	
ValleAosta	2	0	2	17	19	3	0	1	20	99	
ValleAosta	7	0	7	19	26	7	0	1	27	118	
ValleAosta	6	0	6	21	27	1	0	1	28	189	
ValleAosta	12	0	12	29	41	14	0	1	42	231	
ValleAosta	10	3	13	43	56	15	0	1	57	230	
ValleAosta	28	5	33	70	103	48	0	2	105	287	
ValleAosta	35	6	41	93	134	31	0	2	136	398	
ValleAosta	41	3	44	118	162	29	0	3	165	486	
ValleAosta	47	9	56	153	209	50	0	6	215	608	
ValleAosta	54	9	63	194	257	49	0	7	264	814	
ValleAosta	62	15	77	227	304	49	1	8	313	884	
ValleAosta	63	21	84	270	354	51	1	9	364	950	
ValleAosta	69	20	89	290	379	29	2	12	393	1098	
ValleAosta	71	20	91	288	379	7	2	19	400	1180	
ValleAosta	70	25	95	280	375	1	2	24	401	1200	
ValleAosta	73	24	97	281	378	7	2	28	408	1203	
ValleAosta	91	24	115	298	413	44	2	37	452	1252	
ValleAosta	90	26	116	352	468	59	2	41	511	1380	
ValleAosta	90	26	116	423	539	73	2	43	584	1480	
ValleAosta	92	26	118	400	518	0	16	50	584	1536	
ValleAosta	91	26	117	435	552	44	20	56	628	1582	
ValleAosta	85	27	112	428	540	3	32	59	631	1717	
ValleAosta	85	25	110	446	556	37	49	63	668	1934	
ValleAosta	85	25	110	450	560	51	89	70	719	2106	
ValleAosta	63	23	86	474	560	29	106	82	748	2274	
ValleAosta	96	23	119	457	576	34	115	91	782	2390	
ValleAosta	109	21	130	437	567	23	142	96	805	2590	
ValleAosta	118	17	135	458	593	30	142	100	835	2754	
ValleAosta	120	20	140	466	606	15	142	102	850	2953	
ValleAosta	118	18	136	473	609	18	154	105	868	3142	
ValleAosta	131	16	147	455	602	11	170	107	879	3328	
ValleAosta	118	17	135	455	590	23	205	107	902	3464	
ValleAosta	109	16	125	463	588	19	221	112	921	3510	
ValleAosta	109	15	124	458	582	6	230	115	927	3614	
ValleAosta	112	14	126	433	559	20	270	118	947	3726	
ValleAosta	112	11	123	425	548	11	289	121	958	3894	
ValleAosta	105	12	117	401	518	13	331	122	971	4159	
ValleAosta	108	9	117	374	491	22	379	123	993	4366	
ValleAosta	107	10	117	432	549	80	400	124	1073	4521	
ValleAosta	102	10	112	450	562	15	401	125	1088	4677	3802
ValleAosta	102	8	110	438	548	0	413	127	1088	4799	3910
ValleAosta	99	8	107	415	522	5	445	126	1093	4911	3969
ValleAosta	92	8	100	401	501	2	467	127	1095	5024	4011
ValleAosta	91	9	100	363	463	1	506	127	1096	5227	4133
ValleAosta	88	7	95	259	354	4	617	129	1100	5262	4454
ValleAosta	83	6	89	224	313	0	657	130	1100	5966	4694
ValleAosta	82	7	89	165	254	6	721	131	1106	6135	4624
Veneto	12	4	16	16	32	32	0	1	33	2200	
Veneto	12	7	19	23	42	10	0	1	43	3780	
Veneto	16	8	24	45	69	28	0	2	71	4900	
Veneto	19	8	27	82	109	40	0	2	111	6164	
Veneto	24	9	33	116	149	40	0	2	151	7414	
Veneto	24	11	35	154	189	40	0	2	191	8659	
Veneto	51	13	64	197	261	72	0	2	263	9056	
Veneto	53	14	67	204	271	10	0	2	273	9782	
Veneto	49	19	68	229	297	34	7	3	307	10176	
Veneto	76	23	99	246	345	53	9	6	360	10515	
Veneto	92	24	116	264	380	47	17	10	407	11949	
Veneto	117	27	144	310	454	81	22	12	488	13023	
Veneto	123	41	164	341	505	55	25	13	543	14429	
Veneto	146	47	193	430	623	127	29	18	670	15918	
Veneto	186	51	237	457	694	74	30	20	744	15956	
Veneto	204	67	271	512	783	112	47	26	856	16643	
Veneto	262	68	330	610	940	167	54	29	1023	21400	
Veneto	360	85	445	852	1297	361	55	32	1384	23438	
Veneto	366	107	473	980	1453	211	100	42	1595	25691	
Veneto	366	119	485	1290	1775	342	107	55	1937	26980	
Veneto	426	129	555	1434	1989	235	120	63	2172	32546	
Veneto	498	156	654	1620	2274	301	130	69	2473	35052	
Veneto	548	171	719	1769	2488	231	136	80	2704	35478	
Veneto	646	195	841	2112	2953	510	167	94	3214	40841	
Veneto	771	209	980	2189	3169	270	200	115	3484	44658	
Veneto	843	236	1079	2598	3677	547	223	131	4031	49288	
Veneto	942	249	1191	3023	4214	586	257	146	4617	53642	
Veneto	1113	255	1368	3276	4644	505	309	169	5122	57671	
Veneto	1206	281	1487	3499	4986	383	327	192	5505	61115	
Veneto	1318	304	1622	3729	5351	443	381	216	5948	66178	
Veneto	1407	316	1723	4022	5745	494	439	258	6442	70877	
Veneto	1447	326	1773	4367	6140	493	508	287	6935	79759	
Veneto	1536	338	1874	4774	6648	562	536	313	7497	83627	
Veneto	1559	344	1903	5010	6913	433	655	362	7930	89380	
Veneto	1586	355	1941	5310	7251	428	715	392	8358	94784	
Veneto	1633	356	1989	5575	7564	366	747	413	8724	99941	
Veneto	1680	356	2036	5814	7850	431	828	477	9155	106238	
Veneto	1718	350	2068	6156	8224	470	902	499	9625	112746	
Veneto	1670	345	2015	6563	8578	486	1001	532	10111	120320	
Veneto	1714	335	2049	6812	8861	353	1031	572	10464	126490	
Veneto	1691	324	2015	7078	9093	360	1124	607	10824	133289	
Veneto	1674	329	2003	7406	9409	402	1186	631	11226	140910	
Veneto	1714	322	2036	7686	9722	362	1204	662	11588	146288	
Veneto	1579	297	1876	8089	9965	337	1265	695	11925	153542	
Veneto	1554	285	1839	8332	10171	485	1503	736	12410	163247	
Veneto	1530	274	1804	8645	10449	523	1728	756	12933	171456	
Veneto	1521	257	1778	8869	10647	488	1981	793	13421	180700	
Veneto	1465	251	1716	9033	10749	347	2188	831	13768	190912	
Veneto	1428	249	1677	9052	10729	309	2492	856	14077	198442	
Veneto	1427	245	1672	9094	10766	174	2603	882	14251	203077	
Veneto	1427	233	1660	9076	10736	181	2790	906	14432	208878	
Veneto	1402	219	1621	9168	10789	192	2895	940	14624	216344	
Veneto	1388	209	1597	9203	10800	366	3209	981	14990	224549	
Veneto	1359	197	1556	9062	10618	384	3730	1026	15374	236722	
Veneto	1287	190	1477	8967	10444	318	4189	1059	15692	247329	
Veneto	1264	184	1448	8762	10210	243	4638	1087	15935	255797	161231
Veneto	1273	180	1453	8608	10061	192	4954	1112	16127	260810	163757
Veneto	1230	177	1407	8670	10077	277	5173	1154	16404	268069	167129
Veneto	1205	163	1368	8623	9991	334	5566	1181	16738	277543	171735
Veneto	1189	140	1329	8596	9925	143	5750	1206	16881	288075	177154
Veneto	1159	130	1289	8390	9679	348	6306	1244	17229	296896	181473
Veneto	1105	129	1234	8198	9432	162	6671	1288	17391	306977	186426
Veneto	1097	124	1221	7917	9138	80	7018	1315	17471	316361	183513
