denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw
Abruzzo	432	36	468	10568	11036	278	22616	1206	34858	512111
Abruzzo	430	35	465	10608	11073	456	23028	1213	35314	516422
Abruzzo	435	38	473	10900	11373	410	23132	1218	35723	519874
Abruzzo	443	37	480	10771	11251	23	23266	1229	35746	520091
Abruzzo	445	41	486	10937	11423	207	23299	1231	35953	522168
Abruzzo	466	39	505	10700	11205	121	23629	1240	36074	523233
Abruzzo	471	39	510	10584	11094	213	23941	1252	36287	525626
Abruzzo	463	39	502	10829	11331	365	24066	1254	36651	529798
Abruzzo	478	36	514	10803	11317	229	24298	1265	36880	532082
Abruzzo	480	36	516	10581	11097	160	24672	1269	37038	534132
Abruzzo	463	40	503	10760	11263	400	24901	1274	37438	538731
Abruzzo	465	41	506	11035	11541	315	24935	1277	37753	542413
Abruzzo	471	38	509	10871	11380	120	25208	1285	37873	543730
Abruzzo	478	38	516	10621	11137	152	25597	1291	38025	546247
Abruzzo	468	40	508	10708	11216	314	25823	1300	38339	550152
Abruzzo	453	40	493	10687	11180	256	26105	1309	38594	554396
Abruzzo	443	41	484	10763	11247	240	26276	1311	38834	558267
Abruzzo	443	41	484	10802	11286	196	26427	1317	39030	562518
Abruzzo	443	38	481	11071	11552	285	26438	1325	39315	566681
Abruzzo	454	43	497	10885	11382	107	26707	1333	39422	578709
Abruzzo	443	44	487	10559	11046	113	27147	1342	39535	582757
Abruzzo	443	45	488	10499	10987	279	27478	1349	39814	594245
Abruzzo	442	43	485	10175	10660	212	28007	1358	40025	605038
Abruzzo	441	40	481	10018	10499	318	28469	1375	40343	614350
Abruzzo	427	41	468	9943	10411	221	28768	1385	40564	623624
Abruzzo	430	44	474	10180	10654	325	28842	1393	40889	636872
Abruzzo	426	44	470	9726	10196	69	29341	1418	40955	643557
Abruzzo	415	42	457	9590	10047	152	29625	1435	41107	650534
Abruzzo	402	40	442	9634	10076	344	29933	1441	41450	656886
Abruzzo	399	40	439	9627	10066	268	30206	1446	41718	663071
Abruzzo	389	40	429	9639	10068	343	30538	1453	42059	668154
Abruzzo	389	43	432	9685	10117	385	30865	1462	42444	675378
Abruzzo	383	46	429	10058	10487	402	30892	1467	42846	690016
Abruzzo	401	47	448	9988	10436	161	31101	1470	43007	700984
Abruzzo	414	44	458	9604	10062	210	31674	1478	43214	708915
Abruzzo	427	47	474	9545	10019	449	32162	1482	43663	714963
Abruzzo	452	47	499	9744	10243	526	32458	1488	44189	722445
Abruzzo	453	48	501	9725	10226	276	32740	1498	44464	728884
Abruzzo	461	49	510	10042	10552	509	32918	1502	44972	736955
Abruzzo	470	51	521	10455	10976	436	32919	1513	45408	750538
Abruzzo	487	49	536	10418	10954	184	33120	1518	45592	770149
Abruzzo	491	51	542	10207	10749	241	33558	1526	45833	777439
Abruzzo	496	52	548	10259	10807	314	33807	1533	46147	789446
Abruzzo	502	53	555	10319	10874	540	34274	1538	46686	802736
Abruzzo	507	53	560	10497	11057	357	34441	1545	47043	811199
Abruzzo	548	51	599	10834	11433	508	34558	1558	47549	821085
Abruzzo	547	52	599	11049	11648	222	34560	1563	47771	828505
Abruzzo	537	57	594	11383	11977	533	34747	1575	48299	852876
Abruzzo	535	64	599	11705	12304	493	34905	1582	48791	862998
Abruzzo	551	63	614	11593	12207	438	35434	1588	49229	872817
Abruzzo	552	70	622	11686	12308	482	35803	1599	49710	882711
Abruzzo	546	73	619	11758	12377	494	36219	1608	50204	889920
Abruzzo	567	75	642	11841	12483	387	36497	1610	50590	898728
Abruzzo	586	76	662	12262	12924	503	36549	1620	51093	918825
Abruzzo	593	76	669	12304	12973	351	36841	1628	51442	933593
Abruzzo	595	78	673	12150	12823	322	37289	1652	51764	942013
